export TMPDIR=/scratch/chenghau/106323
N		,cpu time		,relative error 
10		,2.19345092773437500000e-05		,5.27887453682195251226e-01
100		,3.09944152832031250000e-06		,1.85916357881302438115e-02
1000		,5.00679016113281250000e-06		,3.38705103249522104791e-02
10000		,4.19616699218750000000e-05		,1.03155787473516100117e-02
100000		,4.07934188842773437500e-04		,3.15971451186959444418e-04
1000000		,4.13322448730468750000e-03		,1.46214503551907426234e-04
10000000		,4.08627986907958984375e-02		,2.58166375856017148247e-04
100000000		,4.07902002334594726562e-01		,2.16239332350877180313e-05
1000000000		,4.07206916809082031250e+00		,2.71105835791294714576e-05
