export TMPDIR=/scratch/chenghau/106323
N		,cpu time		,relative error 
10		,1.50203704833984375000e-05		,4.00563499208679119068e-01
100		,1.19209289550781250000e-06		,1.96055505539246693880e-02
1000		,8.82148742675781250000e-06		,1.96055505539246693880e-02
10000		,8.20159912109375000000e-05		,4.71332475051694510526e-03
100000		,8.17060470581054687500e-04		,8.63464455423132242438e-04
1000000		,8.13794136047363281250e-03		,3.68174272521188696277e-04
10000000		,8.13059806823730468750e-02		,1.59328870862703324187e-04
100000000		,8.13362121582031250000e-01		,1.23584955977527812410e-04
1000000000		,8.13698101043701171875e+00		,1.62358446276514460974e-05
