export TMPDIR=/scratch/chenghau/106323
N		,cpu time		,relative error 
10		,2.50339508056640625000e-05		,6.55211408155711660939e-01
100		,2.14576721191406250000e-06		,1.58647985708998129351e-01
1000		,5.00679016113281250000e-06		,1.22254380644544261014e-02
10000		,2.28881835937500000000e-05		,4.96329578947035665593e-03
100000		,2.04086303710937500000e-04		,7.87070082738946076931e-04
1000000		,2.05993652343750000000e-03		,1.11769627618478343059e-03
10000000		,2.04730033874511718750e-02		,2.48362431361486479461e-04
100000000		,2.04048871994018554688e-01		,1.70275384785393542146e-05
1000000000		,2.03945302963256835938e+00		,2.16099276000676624094e-05
