export TMPDIR=/scratch/chenghau/106323
N		,cpu time		,relative error 
10		,2.14576721191406250000e-06		,1.45915590261646493930e-01
100		,5.00679016113281250000e-06		,6.87315510657303223307e-03
1000		,2.09808349609375000000e-05		,4.58600079604344276762e-03
10000		,2.03847885131835937500e-04		,8.27839547577543209689e-03
100000		,2.00104713439941406250e-03		,8.37999664528403520602e-04
1000000		,1.93910598754882812500e-02		,1.02924359030939289094e-04
10000000		,1.94004058837890625000e-01		,2.20478485331903435382e-04
100000000		,1.93819785118103027344e+00		,3.72888604998272493122e-05
1000000000		,1.93839051723480224609e+01		,3.63713933244924958113e-06
