export TMPDIR=/scratch/chenghau/106323
N		,cpu time		,relative error 
10		,1.09672546386718750000e-05		,1.85916357881302438115e-02
100		,4.05311584472656250000e-06		,4.40564266828333828130e-02
1000		,1.59740447998046875000e-05		,4.58600079604344276762e-03
10000		,1.60932540893554687500e-04		,1.27090110973836776034e-03
100000		,1.64890289306640625000e-03		,1.11811236437013680929e-03
1000000		,1.60820484161376953125e-02		,3.07058774373839763871e-04
10000000		,1.60660028457641601562e-01		,1.83427214580104963734e-04
100000000		,1.60733008384704589844e+00		,1.79610842107429893204e-05
1000000000		,1.60655128955841064453e+01		,7.99543829408076282296e-06
